id,texto,textos_originales,autores,pmids,n_autores,n_papers
aff_48edc3dce54b24f7,"Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Facultad de Medicina, Instituto de Fisiología y Biofísica ""Bernardo Houssay"" (IFIBIO-HOUSSAY), Consejo Nacional de Investigaciones Científicas Y Técnicas (CONICET), Universidad de Buenos Aires, Buenos Aires, Argentina.","[""Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Facultad de Medicina, Instituto de Fisiología y Biofísica \""Bernardo Houssay\"" (IFIBIO-HOUSSAY), Consejo Nacional de Investigaciones Científicas Y Técnicas (CONICET), Universidad de Buenos Aires, Buenos Aires, Argentina.""]","[""Di Giusto G"", ""Fernandez J"", ""Ford P"", ""Netti V""]","[""34263427""]",4,1
aff_494a51b40fb17103,"CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires C1121ABG, Argentina; Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Buenos Aires C1121ABG, Argentina.","[""CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires C1121ABG, Argentina; Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Buenos Aires C1121ABG, Argentina.""]","[""Di Giusto G""]","[""39442808""]",1,1
aff_4a7a18d8f37dd23e,"School of Medical Sciences, Faculty of Medicine and Health, The University of Sydney, Camperdown, NSW, 2050, Australia.","[""School of Medical Sciences, Faculty of Medicine and Health, The University of Sydney, Camperdown, NSW, 2050, Australia.""]","[""Chye Y"", ""West P""]","[""41423699""]",2,1
aff_4ab850075184282f,"Universidad de Buenos Aires, Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas. Instituto de Fisiología y Biofísica B. Houssay (IFIBIO-Houssay), Laboratorio de Fisiología Renal, Paraguay 2155, piso 4, Buenos Aires, 1121, Argentina. Electronic address: csilber@fmed.uba.ar.","[""Universidad de Buenos Aires, Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas. Instituto de Fisiología y Biofísica B. Houssay (IFIBIO-Houssay), Laboratorio de Fisiología Renal, Paraguay 2155, piso 4, Buenos Aires, 1121, Argentina. Electronic address: csilber@fmed.uba.ar.""]","[""Silberstein C""]","[""38788356""]",1,1
aff_4afa02bd543b8fc6,"Institute of Medical Biochemistry Leopoldo de Meis, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil.","[""Institute of Medical Biochemistry Leopoldo de Meis, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil.""]","[""Selles M""]","[""31630412""]",1,1
aff_4b169babc29c2518,"Universidad de Buenos Aires (UBA), Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Fisiología Renal, Buenos Aires, Argentina; Universidad de Buenos Aires - Consejo Nacional de Investigaciones Científicas y Tecnológicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina.","[""Universidad de Buenos Aires (UBA), Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Fisiología Renal, Buenos Aires, Argentina; Universidad de Buenos Aires - Consejo Nacional de Investigaciones Científicas y Tecnológicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina.""]","[""Fischer Sigel L"", ""Sanchez D""]","[""38086442""]",2,1
aff_4b3d9d283afbef14,"Cátedra de Biología Celular y Molecular, Departamento de Ciencias Biológicas, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires. Junín 956 (1113) Buenos Aires, Argentina.","[""Cátedra de Biología Celular y Molecular, Departamento de Ciencias Biológicas, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires. Junín 956 (1113) Buenos Aires, Argentina.""]","[""Castro-Parodi M""]","[""30539720""]",1,1
aff_4b4f9972886acc7a,"Universidad de Buenos Aires, Instituto de Investigaciones Medicas A. Lanari, Laboratorio de Nefrología Experimental y Bioquímica Molecular, Combatientes de Malvinas 3150, Buenos Aires, 1427, Argentina.","[""Universidad de Buenos Aires, Instituto de Investigaciones Medicas A. Lanari, Laboratorio de Nefrología Experimental y Bioquímica Molecular, Combatientes de Malvinas 3150, Buenos Aires, 1427, Argentina.""]","[""Azurmendi P"", ""Di Ciano L"", ""Oddo E"", ""Vlachovsky S""]","[""37676461""]",4,1
aff_4c02661503b41453,"Department of Pharmacology, Howard University College of Medicine, Washington, DC, USA.","[""Department of Pharmacology, Howard University College of Medicine, Washington, DC, USA.""]","[""Tizabi Y""]","[""39947439""]",1,1
aff_4c7790f8f40143d4,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas. Laboratorio de Fisiopatogenia. Buenos Aires, Argentina; CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay). Buenos Aires, Argentina. Electronic address: mamaral@fmed.uba.ar.","[""Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas. Laboratorio de Fisiopatogenia. Buenos Aires, Argentina; CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay). Buenos Aires, Argentina. Electronic address: mamaral@fmed.uba.ar.""]","[""Amaral M""]","[""37979924""]",1,1
aff_4cb8178dc63a3ab9,"Anatomy Unit, Institute of Biomedical Sciences, College of Health Sciences, Mekelle University, Mekelle, Ethiopia.","[""Anatomy Unit, Institute of Biomedical Sciences, College of Health Sciences, Mekelle University, Mekelle, Ethiopia.""]","[""Ekanem P""]","[""33519685""]",1,1
aff_4cca83c5c47772b9,"Universidad de Buenos Aires, Facultad de Medicina, and CONICET, Instituto de Fisiología y Biofísica (IFIBIO), Buenos Aires, Argentina.","[""Universidad de Buenos Aires, Facultad de Medicina, and CONICET, Instituto de Fisiología y Biofísica (IFIBIO), Buenos Aires, Argentina.""]","[""Murer M""]","[""39947439"", ""41183746""]",1,2
aff_4d0445d02e05a569,"Laboratorio de Fisiología Renal, Departamento de Ciencias Fisiológicas, Facultad de Ciencias Médicas, Universidad de Buenos Aires (UBA); Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Universidad de Buenos Aires - Consejo Nacional de Investigaciones Científicas y Tecnológicas (CONICET).","[""Laboratorio de Fisiología Renal, Departamento de Ciencias Fisiológicas, Facultad de Ciencias Médicas, Universidad de Buenos Aires (UBA); Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Universidad de Buenos Aires - Consejo Nacional de Investigaciones Científicas y Tecnológicas (CONICET).""]","[""Fischer Sigel L"", ""Sanchez D""]","[""40587395""]",2,1
aff_4d53c44c100a038c,"Departamento de Fisiología y Biología Molecular y Celular, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires; Intendente Güiraldes 2160, Ciudad Universitaria, Buenos Aires, Argentina. pwappner@leloir.org.ar.","[""Departamento de Fisiología y Biología Molecular y Celular, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires; Intendente Güiraldes 2160, Ciudad Universitaria, Buenos Aires, Argentina. pwappner@leloir.org.ar.""]","[""Wappner P""]","[""40595449""]",1,1
aff_4d9956390ce3bfe3,"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Ciencias Biológicas, Cátedra de Biología Celular y Molecular, Buenos Aires, Argentina.","[""Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Ciencias Biológicas, Cátedra de Biología Celular y Molecular, Buenos Aires, Argentina.""]","[""Castro Parodi M"", ""Di Paola M"", ""Reynoso M""]","[""39955250"", ""41014673""]",3,2
aff_4db2143187e67449,"Laboratorio de Patogénesis e Inmunología de Procesos Infecciosos, Instituto de Medicina Experimental (IMEX-CONICET), Academia Nacional de Medicina, Buenos Aires, Argentina, 1425.","[""Laboratorio de Patogénesis e Inmunología de Procesos Infecciosos, Instituto de Medicina Experimental (IMEX-CONICET), Academia Nacional de Medicina, Buenos Aires, Argentina, 1425.""]","[""Bernal A"", ""Palermo M""]","[""33685676""]",2,1
aff_4dc9c984bc78aabb,"Universidad de Buenos Aires, Laboratorio de Nefrología Experimental y Bioquímica Molecular, Instituto de Investigaciones Médicas A. Lanari, Buenos Aires, Argentina. Electronic address: azurmendi.pablo@lanari.uba.ar.","[""Universidad de Buenos Aires, Laboratorio de Nefrología Experimental y Bioquímica Molecular, Instituto de Investigaciones Médicas A. Lanari, Buenos Aires, Argentina. Electronic address: azurmendi.pablo@lanari.uba.ar.""]","[""Azurmendi P""]","[""36549423""]",1,1
aff_4e1d03a05ef1bbaf,"Instituto de Biotecnología, Centro de Investigación en Ciencias Veterinarias y Agronómicas, Instituto Nacional de Tecnología Agropecuaria, Hurlingham, Argentina. Electronic address: Cataldi.angeladrian@inta.gob.ar.","[""Instituto de Biotecnología, Centro de Investigación en Ciencias Veterinarias y Agronómicas, Instituto Nacional de Tecnología Agropecuaria, Hurlingham, Argentina. Electronic address: Cataldi.angeladrian@inta.gob.ar.""]","[""Cataldi A""]","[""29807709""]",1,1
aff_4eb846c189333edf,"Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Paraguay 2155, 7Th Floor (1121), Ciudad Autónoma de Buenos Aires, Argentina. vnetti@conicet.gov.ar.","[""Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Paraguay 2155, 7Th Floor (1121), Ciudad Autónoma de Buenos Aires, Argentina. vnetti@conicet.gov.ar.""]","[""Netti V""]","[""39485629""]",1,1
aff_4f0cbe8c7e7083fa,"Division of Developmental Neuroscience, Columbia University and the NYSPI, Sackler Institute for Developmental Psychobiology, New York City, New York, USA.","[""Division of Developmental Neuroscience, Columbia University and the NYSPI, Sackler Institute for Developmental Psychobiology, New York City, New York, USA.""]","[""Gingrich J""]","[""26484945""]",1,1
aff_4f0f1b688bc40b5e,"Emory University School of Medicine, Emory Goizueta Brain Health Institute, Atlanta, Georgia, USA.","[""Emory University School of Medicine, Emory Goizueta Brain Health Institute, Atlanta, Georgia, USA.""]","[""Breithaupt A""]","[""42675027""]",1,1
aff_4f2177fa655b62ce,"Instituto de Biología y Medicina Experimental (IBYME), CONICET, Buenos Aires, Argentina; Universidad de Buenos Aires, Ciclo Básico Común, Cátedra de Química, Buenos Aires, Argentina.","[""Instituto de Biología y Medicina Experimental (IBYME), CONICET, Buenos Aires, Argentina; Universidad de Buenos Aires, Ciclo Básico Común, Cátedra de Química, Buenos Aires, Argentina.""]","[""Frungieri M""]","[""32259636""]",1,1
aff_4f3f75f925893e51,"Laboratorio de Fisiopatología Placentaria, CEFyBO, Facultad de Medicina, Universidad de Buenos Aires, Argentina.","[""Laboratorio de Fisiopatología Placentaria, CEFyBO, Facultad de Medicina, Universidad de Buenos Aires, Argentina.""]","[""Farina M""]","[""27342375""]",1,1
aff_4fa69a238c969106,"Universidad de Buenos Aires, Facultad de Medicina, Laboratorio de Patología Experimental y Aplicada, Argentina.","[""Universidad de Buenos Aires, Facultad de Medicina, Laboratorio de Patología Experimental y Aplicada, Argentina.""]","[""Lago N""]","[""28057514""]",1,1
aff_5010256eb15855bb,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Grupo de Neurociencias de Sistemas, Buenos Aires, Argentina; Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET) - Universidad de Buenos Aires. Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina; Grupo de Neurofisiología, Instituto Multidisciplinario de Biología Celular (IMBICE), Universidad Nacional La Plata (UNLP), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Comisión de Investigaciones Científicas de la Provincia de Buenos Aires (CICPBA)), La Plata, Buenos Aires, Argentina. Electronic address: springvaldivia@gmail.com.","[""Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Grupo de Neurociencias de Sistemas, Buenos Aires, Argentina; Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET) - Universidad de Buenos Aires. Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina; Grupo de Neurofisiología, Instituto Multidisciplinario de Biología Celular (IMBICE), Universidad Nacional La Plata (UNLP), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Comisión de Investigaciones Científicas de la Provincia de Buenos Aires (CICPBA)), La Plata, Buenos Aires, Argentina. Electronic address: springvaldivia@gmail.com.""]","[""Valdivia S""]","[""41605341""]",1,1
aff_50389e14c92e1ed4,"Laboratorio de Fisiopatogenia. Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Departamento de Fisiología, Facultad de Medicina, Buenos Aires, Argentina.","[""Laboratorio de Fisiopatogenia. Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Departamento de Fisiología, Facultad de Medicina, Buenos Aires, Argentina.""]","[""Amaral M"", ""Sacerdoti F""]","[""37036956""]",2,1
aff_5050b8b935129963,"Mindich Child Health and Development Institute, Icahn School of Medicine at Mount Sinai, New York, NY, USA.","[""Mindich Child Health and Development Institute, Icahn School of Medicine at Mount Sinai, New York, NY, USA.""]","[""Gelb B""]","[""32360730""]",1,1
aff_50e8919a2c4db907,"División de Cardiología, Hospital de Niños Dr. Ricardo Gutiérrez, Buenos Aires, Argentina.","[""División de Cardiología, Hospital de Niños Dr. Ricardo Gutiérrez, Buenos Aires, Argentina.""]","[""Sardella A"", ""Sicurello M""]","[""36464947""]",2,1
aff_5103d8f070443079,"Instituto de Medicina Experimental - CONICET - Academia Nacional de Medicina, Buenos Aires, Argentina; Departamento de Microbiología, Parasitología e Inmunología, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.","[""Instituto de Medicina Experimental - CONICET - Academia Nacional de Medicina, Buenos Aires, Argentina; Departamento de Microbiología, Parasitología e Inmunología, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.""]","[""Jancic C""]","[""37979924""]",1,1
aff_512a8311e6a3af21,"Department of Medicine, The George Washington University, Washington, DC, USA.","[""Department of Medicine, The George Washington University, Washington, DC, USA.""]","[""Armando I""]","[""30879772""]",1,1
aff_5146a71bc9957c18,"Laboratório de Bacteriologia, Instituto Butantan, São Paulo 05503900, Brasil. daniedaluz@yahoo.com.br.","[""Laboratório de Bacteriologia, Instituto Butantan, São Paulo 05503900, Brasil. daniedaluz@yahoo.com.br.""]","[""Luz D""]","[""30513821""]",1,1
aff_5186d19e853fb37e,"Department of Physiology, Faculty of Pharmacy, Universidad de Sevilla, Seville, Spain.","[""Department of Physiology, Faculty of Pharmacy, Universidad de Sevilla, Seville, Spain.""]","[""Sobrevia L""]","[""38827994""]",1,1
aff_51ad578f18c547a8,"Grupo de Neurociencia de Sistemas, Departamento de Ciencias Fisiológicas, Facultad de Ciencias Médicas, Universidad de Buenos Aires, Buenos Aires, Argentina.","[""Grupo de Neurociencia de Sistemas, Departamento de Ciencias Fisiológicas, Facultad de Ciencias Médicas, Universidad de Buenos Aires, Buenos Aires, Argentina.""]","[""Gomez Acosta M"", ""Igaz L"", ""Uehara J"", ""Vassallu F""]","[""39833563"", ""41423699""]",4,2
aff_51aeaff5e5e3b3d9,"Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Paraguay 2155, 7Th Floor (1121), Ciudad Autónoma de Buenos Aires, Argentina.","[""Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Paraguay 2155, 7Th Floor (1121), Ciudad Autónoma de Buenos Aires, Argentina.""]","[""Capurro C"", ""Cocca M"", ""Cutrera N"", ""Di Giusto G"", ""Ford P"", ""Molina Ponce T""]","[""39485629""]",6,1
aff_51c3072c6d655393,"Departamento de Ciencias Biológicas, Facultad de Ciencias Exactas, Universidad Nacional de La Plata, La Plata, Argentina.","[""Departamento de Ciencias Biológicas, Facultad de Ciencias Exactas, Universidad Nacional de La Plata, La Plata, Argentina.""]","[""Bruno-Blanch L"", ""Talevi A""]","[""28118493""]",2,1
aff_51e0d132e340fbf6,"Universidad de Buenos Aires- CONICET, Instituto de Biodiversidad y Biología Experimental y Aplicada (IBBEA)- DBBE- Facultad de Ciencias Exactas y Naturales, Laboratorio de Reproducción y Fisiología Materno-Embrionaria, Buenos Aires, Argentina. Electronic address: ecebral@hotmail.com.","[""Universidad de Buenos Aires- CONICET, Instituto de Biodiversidad y Biología Experimental y Aplicada (IBBEA)- DBBE- Facultad de Ciencias Exactas y Naturales, Laboratorio de Reproducción y Fisiología Materno-Embrionaria, Buenos Aires, Argentina. Electronic address: ecebral@hotmail.com.""]","[""Cebral E""]","[""39461007""]",1,1
aff_52739d396aabd88d,"Laboratorio de Memoria, Facultad de Medicina, Instituto de Biología Celular y Neurociencia, Universidad de Buenos Aires-CONICET Buenos Aires, Argentina.","[""Laboratorio de Memoria, Facultad de Medicina, Instituto de Biología Celular y Neurociencia, Universidad de Buenos Aires-CONICET Buenos Aires, Argentina.""]","[""Gonzalez M"", ""Katche C"", ""Kramar C"", ""Tomaiuolo M""]","[""25506318""]",4,1
aff_5280a87c1d18614b,"IFIBIO-Houssay, Departamento de Fisiología, Facultad de Medicina, Universidad de Buenos Aires (UBA), Paraguay 2155 7° piso, C1121ABG, Ciudad Autónoma de Buenos Aires, Argentina. pfaillace@qb.ffyb.uba.ar.","[""IFIBIO-Houssay, Departamento de Fisiología, Facultad de Medicina, Universidad de Buenos Aires (UBA), Paraguay 2155 7° piso, C1121ABG, Ciudad Autónoma de Buenos Aires, Argentina. pfaillace@qb.ffyb.uba.ar.""]","[""Faillace M""]","[""28710541""]",1,1
aff_52dbb8ed5ecef24b,"Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Facultad de Medicina, Instituto de Fisiología y Biofísica ""Bernardo Houssay"" (IFIBIO-HOUSSAY), Consejo Nacional de Investigaciones Científicas Y Técnicas (CONICET), Universidad de Buenos Aires, Buenos Aires, Argentina. capurroclaudia@yahoo.com.ar.","[""Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Facultad de Medicina, Instituto de Fisiología y Biofísica \""Bernardo Houssay\"" (IFIBIO-HOUSSAY), Consejo Nacional de Investigaciones Científicas Y Técnicas (CONICET), Universidad de Buenos Aires, Buenos Aires, Argentina. capurroclaudia@yahoo.com.ar.""]","[""Capurro C""]","[""34263427""]",1,1
aff_530e56ab21633014,"Vascular Physiology Laboratory Group of Investigation in Tumor Angiogenesis (GIANT) Group of Research and Innovation in Vascular Health (GRIVAS Health) Basic Sciences Department Faculty of Sciences, Universidad Del Bio-Bio, Chillan, Chile.","[""Vascular Physiology Laboratory Group of Investigation in Tumor Angiogenesis (GIANT) Group of Research and Innovation in Vascular Health (GRIVAS Health) Basic Sciences Department Faculty of Sciences, Universidad Del Bio-Bio, Chillan, Chile.""]","[""Escudero C""]","[""32129110""]",1,1
aff_534be2109fa6b205,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Fisiopatogenia, Buenos Aires C1121 ABG, Argentina.","[""Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Fisiopatogenia, Buenos Aires C1121 ABG, Argentina.""]","[""Amaral M"", ""Giron D"", ""Gomez F"", ""Marques da Silva W"", ""Sacerdoti F""]","[""42347511""]",5,1
aff_54a8b64a73a8363a,"Cátedra de Biología Celular y Molecular, Departamento de Ciencias Biológicas, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Junín 956 1er piso, CP 1113, Buenos Aires, Argentina. adamiano@ffyb.uba.ar.","[""Cátedra de Biología Celular y Molecular, Departamento de Ciencias Biológicas, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Junín 956 1er piso, CP 1113, Buenos Aires, Argentina. adamiano@ffyb.uba.ar.""]","[""Damiano A""]","[""28258575""]",1,1
aff_54ea707af7991ac4,"Instituto de investigación en Electrónica, Control y Procesamiento de Señales (LEICI), Universidad Nacional de La Plata-Consejo Nacional de Investigaciones Científicas y Técnicas, La Plata, Argentina.","[""Instituto de investigación en Electrónica, Control y Procesamiento de Señales (LEICI), Universidad Nacional de La Plata-Consejo Nacional de Investigaciones Científicas y Técnicas, La Plata, Argentina.""]","[""Collavini S""]","[""33692740""]",1,1
aff_5557dbf5f1fc2971,"Clínica Pediátrica, Hospital Nacional de Pediatría Juan P Garrahan, Buenos Aires, Argentina.","[""Clínica Pediátrica, Hospital Nacional de Pediatría Juan P Garrahan, Buenos Aires, Argentina.""]","[""Affranchino N"", ""Urrutia L""]","[""36464947""]",2,1
aff_5572db135a66575e,"Laboratory of Neurobiology II, Neurobiology Program, Institute of Biophysics Carlos Chagas Filho, Federal University of Rio de JaneiroRio de Janeiro, Brazil; Instituto de Neurologia Deolindo Couto, Federal University of Rio de JaneiroRio de Janeiro, Brazil.","[""Laboratory of Neurobiology II, Neurobiology Program, Institute of Biophysics Carlos Chagas Filho, Federal University of Rio de JaneiroRio de Janeiro, Brazil; Instituto de Neurologia Deolindo Couto, Federal University of Rio de JaneiroRio de Janeiro, Brazil.""]","[""Vargas C""]","[""27625602""]",1,1
aff_5583129e55d9bcb7,"Universidad de Buenos Aires-CONICET. Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Facultad de Medicina, Departamento de Ciencias Fisiológicas, Ciudad de Buenos Aires C1121ABG, Argentina vdellamaggiore@fmed.uba.ar.","[""Universidad de Buenos Aires-CONICET. Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Facultad de Medicina, Departamento de Ciencias Fisiológicas, Ciudad de Buenos Aires C1121ABG, Argentina vdellamaggiore@fmed.uba.ar.""]","[""Della-Maggiore V""]","[""39074983""]",1,1
aff_55bd043e8c0c9815,"Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Facultad de Medicina, Instituto de Fisiología y Biofísica ""Bernardo Houssay"" (IFIBIO-HOUSSAY), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Universidad de Buenos Aires, Buenos Aires, Argentina.","[""Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Facultad de Medicina, Instituto de Fisiología y Biofísica \""Bernardo Houssay\"" (IFIBIO-HOUSSAY), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Universidad de Buenos Aires, Buenos Aires, Argentina.""]","[""Capurro C"", ""Di Giusto G"", ""Ford P"", ""Pizzoni A"", ""Rivarola V""]","[""33094506"", ""38827994""]",5,2
aff_55c20d3f08a996dc,"Departamento de Fisiología, Facultad de Medicina, Universidad de Buenos (UBA), Buenos Aires, Argentina.","[""Departamento de Fisiología, Facultad de Medicina, Universidad de Buenos (UBA), Buenos Aires, Argentina.""]","[""Medina J""]","[""29755331""]",1,1
aff_55efb15246a14e45,"Laboratorio de Fisiopatogenia, IFIBIO-Houssay (UBA-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Paraguay 2155, C1121 CABA, Argentina.","[""Laboratorio de Fisiopatogenia, IFIBIO-Houssay (UBA-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Paraguay 2155, C1121 CABA, Argentina.""]","[""Amaral M"", ""Sacerdoti F""]","[""37704516""]",2,1
aff_56b5e9617ab667c4,"Instituto de Fisiología y Biofísica ""Bernardo Houssay"" (IFIBIO-Houssay), Grupo de Neurociencia de Sistemas, Universidad de Buenos Aires y Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Buenos Aires, Argentina.","[""Instituto de Fisiología y Biofísica \""Bernardo Houssay\"" (IFIBIO-Houssay), Grupo de Neurociencia de Sistemas, Universidad de Buenos Aires y Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Buenos Aires, Argentina.""]","[""Ihidoype M"", ""Pafundo D"", ""Sachella T""]","[""35217797""]",3,1
aff_56e1a3e2090a5144,"Hospital de Pediatría J.P Garrahan, Departamento de Neuroimágenes, Buenos Aires, Argentina.","[""Hospital de Pediatría J.P Garrahan, Departamento de Neuroimágenes, Buenos Aires, Argentina.""]","[""Princich J""]","[""33692740""]",1,1
aff_56f3dfc518b305f1,"Facultad de Medicina, CONICET, Instituto de Fisiología y Biofísica ""Bernardo Houssay"" (IFIBIO ""Houssay""), Universidad de Buenos Aires, Argentina.","[""Facultad de Medicina, CONICET, Instituto de Fisiología y Biofísica \""Bernardo Houssay\"" (IFIBIO \""Houssay\""), Universidad de Buenos Aires, Argentina.""]","[""Toriano R""]","[""34293244""]",1,1
aff_56fd823df65626ee,"IFIBIO Houssay, UBA CONICET Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.","[""IFIBIO Houssay, UBA CONICET Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.""]","[""Araoz A"", ""Zotta E""]","[""26842625"", ""27015899""]",2,2
aff_572ba837bf994c2f,"Instituto Cajal, CSIC, Madrid, Spain.","[""Instituto Cajal, CSIC, Madrid, Spain.""]","[""Herreras O"", ""Makarova J""]","[""31998083""]",2,1
aff_5777df2da578d774,"Laboratorio de Neurobiología de la Memoria, Dto. Fisiología, Biología Molecular y Celular, Fac. Cs. Exactas y Naturales, UBA/IFIByNE, CONICET, Int. Güiraldes 2160, C1428EGA CABA, Argentina.","[""Laboratorio de Neurobiología de la Memoria, Dto. Fisiología, Biología Molecular y Celular, Fac. Cs. Exactas y Naturales, UBA/IFIByNE, CONICET, Int. Güiraldes 2160, C1428EGA CABA, Argentina.""]","[""Romano A""]","[""27321160""]",1,1
aff_57833ca493b15fef,"Universidad de Buenos Aires, Facultad de Medicina, Departamento de Ciencias Fisiológicas, Grupo de Neurociencia de Sistemas, Buenos Aires, Argentina.","[""Universidad de Buenos Aires, Facultad de Medicina, Departamento de Ciencias Fisiológicas, Grupo de Neurociencia de Sistemas, Buenos Aires, Argentina.""]","[""Murer M"", ""Rela L""]","[""34823607""]",2,1
aff_585d6c26886bf0f0,"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Argentina.","[""Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Argentina.""]","[""Amaral M"", ""Ibarra C""]","[""28643674""]",2,1
aff_58be8a264a648e29,"Grupo de Neurociencia de Sistemas, Instituto de Fisiología y Biofísica ""Bernardo Houssay"", Universidad de Buenos Aires y Consejo Nacional de Investigaciones Científicas y Técnicas, Grupo de Neurociencia de Sistemas, Buenos Aires C1121ABG, Argentina.","[""Grupo de Neurociencia de Sistemas, Instituto de Fisiología y Biofísica \""Bernardo Houssay\"", Universidad de Buenos Aires y Consejo Nacional de Investigaciones Científicas y Técnicas, Grupo de Neurociencia de Sistemas, Buenos Aires C1121ABG, Argentina.""]","[""Kasanetz F""]","[""37252991""]",1,1
