PMID,Author,Affiliation
40603573,Acevedo J,"Instituto Leloir, Patricias Argentinas 435, Buenos Aires, 1405, Argentina."
40603573,Melani M,"Instituto Leloir, Patricias Argentinas 435, Buenos Aires, 1405, Argentina."
40603573,Melani M,"Departamento de Fisiología y Biología Molecular y Celular, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires, Intendente Güiraldes 2160, Ciudad Universitaria, Buenos Aires, 1428, Argentina."
40603573,Melani M,"Instituto de Investigaciones Bioquímicas de Buenos Aires, CONICET, Patricias Argentinas 435, Buenos Aires, 1405, Argentina."
40603573,Perez-Perri J,"Gulbenkian Institute for Molecular Medicine (GIMM), Edifício Egas Moniz, Avenida Professor Egas Moniz, Lisbon, 1649-028, Portugal. joelpperri@medicina.ulisboa.pt."
40603573,Wappner P,"Instituto Leloir, Patricias Argentinas 435, Buenos Aires, 1405, Argentina. PWAPPNER@LELOIR.ORG.AR."
40603573,Wappner P,"Departamento de Fisiología y Biología Molecular y Celular, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires, Intendente Güiraldes 2160, Ciudad Universitaria, Buenos Aires, 1428, Argentina. PWAPPNER@LELOIR.ORG.AR."
40603573,Wappner P,"Instituto de Investigaciones Bioquímicas de Buenos Aires, CONICET, Patricias Argentinas 435, Buenos Aires, 1405, Argentina. PWAPPNER@LELOIR.ORG.AR."
40595449,Katz M,"Departamento de Ciencias Fisiológicas, Facultad de Medicina, Universidad de Buenos Aires. Paraguay 2155, Buenos Aires, Argentina."
40595449,Katz M,"Instituto de Fisiología y Biofísica ""Bernardo Houssay"" (IFIBIO-Houssay CONICET), Grupo de Neurociencia de Sistemas, Paraguay 2155, Buenos Aires, Argentina."
40595449,Rodriguez F,"Instituto Leloir, Patricias Argentinas 435, Buenos Aires, Argentina."
40595449,Rodriguez F,"Instituto de Investigaciones Bioquímicas de Buenos Aires, CONICET, Patricias Argentinas 435, Buenos Aires, Argentina."
40595449,Evangelisti F,"Instituto Leloir, Patricias Argentinas 435, Buenos Aires, Argentina."
40595449,Evangelisti F,"Instituto de Investigaciones Bioquímicas de Buenos Aires, CONICET, Patricias Argentinas 435, Buenos Aires, Argentina."
40595449,Borrat A,"Instituto Leloir, Patricias Argentinas 435, Buenos Aires, Argentina."
40595449,Borrat A,"Instituto de Investigaciones Bioquímicas de Buenos Aires, CONICET, Patricias Argentinas 435, Buenos Aires, Argentina."
40595449,Perez-Pandolfo S,"Instituto Leloir, Patricias Argentinas 435, Buenos Aires, Argentina."
40595449,Perez-Pandolfo S,"Instituto de Investigaciones Bioquímicas de Buenos Aires, CONICET, Patricias Argentinas 435, Buenos Aires, Argentina."
40595449,Peters T,"Instituto Leloir, Patricias Argentinas 435, Buenos Aires, Argentina."
40595449,Peters T,"Instituto de Investigaciones Bioquímicas de Buenos Aires, CONICET, Patricias Argentinas 435, Buenos Aires, Argentina."
40595449,Sommario N,"Instituto Leloir, Patricias Argentinas 435, Buenos Aires, Argentina."
40595449,Sommario N,"Instituto de Investigaciones Bioquímicas de Buenos Aires, CONICET, Patricias Argentinas 435, Buenos Aires, Argentina."
40595449,Boccaccio G,"Instituto Leloir, Patricias Argentinas 435, Buenos Aires, Argentina."
40595449,Boccaccio G,"Instituto de Investigaciones Bioquímicas de Buenos Aires, CONICET, Patricias Argentinas 435, Buenos Aires, Argentina."
40595449,Boccaccio G,"Departamento de Fisiología y Biología Molecular y Celular, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires; Intendente Güiraldes 2160, Ciudad Universitaria, Buenos Aires, Argentina."
40595449,Melani M,"Instituto Leloir, Patricias Argentinas 435, Buenos Aires, Argentina."
40595449,Melani M,"Instituto de Investigaciones Bioquímicas de Buenos Aires, CONICET, Patricias Argentinas 435, Buenos Aires, Argentina."
40595449,Melani M,"Departamento de Fisiología y Biología Molecular y Celular, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires; Intendente Güiraldes 2160, Ciudad Universitaria, Buenos Aires, Argentina."
40595449,Wappner P,"Instituto Leloir, Patricias Argentinas 435, Buenos Aires, Argentina. pwappner@leloir.org.ar."
40595449,Wappner P,"Instituto de Investigaciones Bioquímicas de Buenos Aires, CONICET, Patricias Argentinas 435, Buenos Aires, Argentina. pwappner@leloir.org.ar."
40595449,Wappner P,"Departamento de Fisiología y Biología Molecular y Celular, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires; Intendente Güiraldes 2160, Ciudad Universitaria, Buenos Aires, Argentina. pwappner@leloir.org.ar."
40587395,Fischer Sigel L,"Laboratorio de Fisiología Renal, Departamento de Ciencias Fisiológicas, Facultad de Ciencias Médicas, Universidad de Buenos Aires (UBA); Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Universidad de Buenos Aires - Consejo Nacional de Investigaciones Científicas y Tecnológicas (CONICET)."
40587395,Sanchez D,"Laboratorio de Fisiología Renal, Departamento de Ciencias Fisiológicas, Facultad de Ciencias Médicas, Universidad de Buenos Aires (UBA); Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Universidad de Buenos Aires - Consejo Nacional de Investigaciones Científicas y Tecnológicas (CONICET)."
40587395,Balestracci A,"Servicio de Nefrología, Hospital General de Niños Pedro de Elizalde."
40587395,Ibarra C,"Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Universidad de Buenos Aires - Consejo Nacional de Investigaciones Científicas y Tecnológicas (CONICET); Laboratorio de Fisiopatogenia, Departamento de Ciencias Fisiológicas, Facultad de Medicina, Universidad de Buenos Aires."
40587395,Silberstein C,"Laboratorio de Fisiología Renal, Departamento de Ciencias Fisiológicas, Facultad de Ciencias Médicas, Universidad de Buenos Aires (UBA); Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Universidad de Buenos Aires - Consejo Nacional de Investigaciones Científicas y Tecnológicas (CONICET); csilber@fmed.uba.ar."
40577142,Vlachovsky S,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Instituto de Investigaciones Médicas Alfredo Lanari, Servicio de Nefrología Experimental y Bioquímica Molecular IDIM UBA-CONICET, Buenos Aires, Argentina. E-mail: sandragvla@gmail.com."
40577142,Vlachovsky S,"Universidad de Buenos Aires, Facultad de Ciencias Exactas y Naturales, Departamento de Química Biológica, Laboratorio de Biosensores y Bioanálisis, IQUIBICEN UBA-CONICET, Buenos Aires, Argentina."
40577142,Ibarra F,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Instituto de Investigaciones Médicas Alfredo Lanari, Servicio de Nefrología Experimental y Bioquímica Molecular IDIM UBA-CONICET, Buenos Aires, Argentina."
40577142,Ibarra F,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Instituto de Fisiología y Biofísica B. Houssay IFIBIO-Houssay-CONICET, Laboratorio de Fisiología Renal, Buenos Aires, Argentina."
40577142,Di Ciano L,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Instituto de Investigaciones Médicas Alfredo Lanari, Servicio de Nefrología Experimental y Bioquímica Molecular IDIM UBA-CONICET, Buenos Aires, Argentina."
40577142,Di Ciano L,"Universidad de Buenos Aires, Facultad de Ciencias Veterinarias. Cátedra de Fisiología Animal, Buenos Aires, Argentina."
40553107,Tubert C,"Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay, Grupo de Neurociencia de Sistemas, Buenos Aires, Argentina."
40553107,Paz R,"Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay, Grupo de Neurociencia de Sistemas, Buenos Aires, Argentina."
40553107,Paz R,"Department of Neurology, UCSF, San Francisco, United States."
40553107,Stahl A,"Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay, Grupo de Neurociencia de Sistemas, Buenos Aires, Argentina."
40553107,Sanchez Armijos K,"Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay, Grupo de Neurociencia de Sistemas, Buenos Aires, Argentina."
40553107,Rela L,"Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay, Grupo de Neurociencia de Sistemas, Buenos Aires, Argentina."
40553107,Rela L,"Universidad de Buenos Aires, Facultad de Medicina, Departamento de Ciencias Fisiológicas, Buenos Aires, Argentina."
40553107,Murer M,"Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay, Grupo de Neurociencia de Sistemas, Buenos Aires, Argentina."
40553107,Murer M,"Universidad de Buenos Aires, Facultad de Medicina, Departamento de Ciencias Fisiológicas, Buenos Aires, Argentina."
40527250,Reppetti J,"Universidad de Buenos Aires (UBA-CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO-Houssay), Laboratorio de Biología de la Reproducción, Facultad de Medicina, Buenos Aires, Argentina."
40527250,German G,"Department of Obstetrics and Gynecology, University of Washington, Seattle, Washington, USA."
40527250,Tomas E,"Universidad de Buenos Aires (UBA-CONICET), Centro de Estudios Farmacológicos y Botánicos (CEFYBO), Laboratorio de Fisiopatología Placentaria, Facultad de Medicina, Buenos Aires, Argentina."
40527250,Mariana F,"Universidad de Buenos Aires (UBA-CONICET), Centro de Estudios Farmacológicos y Botánicos (CEFYBO), Laboratorio de Fisiopatología Placentaria, Facultad de Medicina, Buenos Aires, Argentina."
40527250,Alicia D,"Universidad de Buenos Aires (UBA-CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO-Houssay), Laboratorio de Biología de la Reproducción, Facultad de Medicina, Buenos Aires, Argentina; Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Ciencias Biológicas, Cátedra de Biología Celular y Molecular, Buenos Aires, Argentina."
40527250,Nora M,"Universidad de Buenos Aires (UBA-CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO-Houssay), Laboratorio de Biología de la Reproducción, Facultad de Medicina, Buenos Aires, Argentina. Electronic address: noraalicia.martinez@gmail.com."
40451786,Politi M,"Facultad de Ciencias Médicas, Universidad de Buenos Aires (UBA), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica ""Bernardo Houssay"" (IFIBIO-HOUSSAY), Laboratorio de Biomembranas, Buenos Aires, Argentina."
40451786,Izurieta M,"Sanatorio de la Trinidad Mitre, Buenos Aires, Argentina."
40451786,Barba V,"Sanatorio de la Trinidad Mitre, Buenos Aires, Argentina."
40451786,Di Benedetto S,"School of Medicine, University of California San Diego (UCSD), San Diego, California, USA."
40451786,Ferreyra R,"Sanatorio de la Trinidad Mitre, Buenos Aires, Argentina."
40451786,Bortman G,"Sanatorio de la Trinidad Mitre, Buenos Aires, Argentina."
40451786,Piazza A,"Sanatorio de la Trinidad Mitre, Buenos Aires, Argentina."
40451786,Capurro C,"Facultad de Ciencias Médicas, Universidad de Buenos Aires (UBA), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica ""Bernardo Houssay"" (IFIBIO-HOUSSAY), Laboratorio de Biomembranas, Buenos Aires, Argentina."
40012853,Alipio P,"Laboratorio de Neurofisiopatología, Facultad de Medicina, Instituto de Fisiología y Biofísica ""Houssay"" (IFIBIO), Universidad de Buenos Aires, Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Buenos Aires, Argentina."
40012853,Fabian L,"Laboratorio de Neuropatología Experimental, Facultad de Medicina, Instituto de Biología Celular y Neurociencia ""Prof. E. De Robertis"" (IBCN), CONICET Universidad de Buenos Aires, Buenos Aires, Argentina."
40012853,Jorge G,"Laboratorio de Neurofisiopatología, Facultad de Medicina, Instituto de Fisiología y Biofísica ""Houssay"" (IFIBIO), Universidad de Buenos Aires, Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Buenos Aires, Argentina."
39955250,Medina Y,"Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Laboratorio de Biología de la Reproducción, Buenos Aires, Argentina."
39955250,Fernandez N,"Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Laboratorio de Biología de la Reproducción, Buenos Aires, Argentina; Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Ciencias Biológicas, Cátedra de Biología Celular y Molecular, Buenos Aires, Argentina."
39955250,Sierra M,"Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Laboratorio de Biología de la Reproducción, Buenos Aires, Argentina; Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Ciencias Biológicas, Cátedra de Biología Celular y Molecular, Buenos Aires, Argentina."
39955250,Castro Parodi M,"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Ciencias Biológicas, Cátedra de Biología Celular y Molecular, Buenos Aires, Argentina."
39955250,Damiano A,"Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Laboratorio de Biología de la Reproducción, Buenos Aires, Argentina; Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Ciencias Biológicas, Cátedra de Biología Celular y Molecular, Buenos Aires, Argentina. Electronic address: adamiano@ffyb.uba.ar."
39947439,Granado N,"Instituto Cajal, Consejo Superior de Investigaciones Científicas (CSIC), Madrid, Spain; Centro de Investigación Biomédica en Red sobre Enfermedades Neurodegenerativas (CIBERNED), Instituto de Salud Carlos III, Madrid, Spain."
39947439,Mendieta L,"Instituto Cajal, Consejo Superior de Investigaciones Científicas (CSIC), Madrid, Spain; Centro de Investigación Biomédica en Red sobre Enfermedades Neurodegenerativas (CIBERNED), Instituto de Salud Carlos III, Madrid, Spain."
39947439,Tizabi Y,"Department of Pharmacology, Howard University College of Medicine, Washington, DC, USA."
39947439,Murer M,"Universidad de Buenos Aires, Facultad de Medicina, and CONICET, Instituto de Fisiología y Biofísica (IFIBIO), Buenos Aires, Argentina."
39947439,Moratalla R,"Instituto Cajal, Consejo Superior de Investigaciones Científicas (CSIC), Madrid, Spain; Centro de Investigación Biomédica en Red sobre Enfermedades Neurodegenerativas (CIBERNED), Instituto de Salud Carlos III, Madrid, Spain. Electronic address: moratalla@cajal.csic.es."
39855537,Santander O,"Centro de Neurobiología y Fisiopatología Integrativa (CENFI), Instituto de Fisiología, Universidad de Valparaíso, Valparaíso 2340000, Chile; Programa de Doctorado en Ciencias, Mención Neurociencia, Universidad de Valparaíso, Valparaíso 2340000, Chile."
39855537,Arredondo S,"Institute of Biomedical Sciences, Faculty of Medicine and Faculty of Life Science, Universidad Andres Bello, Santiago, Chile."
39855537,Garcia-Rojas F,"Centro de Neurobiología y Fisiopatología Integrativa (CENFI), Instituto de Fisiología, Universidad de Valparaíso, Valparaíso 2340000, Chile."
39855537,Estay S,"Programa de Doctorado en Ciencias, Mención Neurociencia, Universidad de Valparaíso, Valparaíso 2340000, Chile; Instituto de Neurociencias y Centro Interdisciplinario de Neurociencia de Valparaíso, Facultad de Ciencias, Universidad de Valparaíso, Valparaíso 2340000, Chile."
39855537,Belforte J,"Instituto de Fisiología y Biofísica ""Bernardo Houssay"" (IFIBIO-Houssay), Grupo de Neurociencia de Sistemas, Universidad de Buenos Aires y Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Buenos Aires 1121, Argentina."
39855537,Chavez A,"Instituto de Neurociencias y Centro Interdisciplinario de Neurociencia de Valparaíso, Facultad de Ciencias, Universidad de Valparaíso, Valparaíso 2340000, Chile."
39855537,Varela-Nallar L,"Institute of Biomedical Sciences, Faculty of Medicine and Faculty of Life Science, Universidad Andres Bello, Santiago, Chile; Millennium Nucleus of Neuroepigenetics and Plasticity (EpiNeuro), Santiago, Chile."
39855537,Fuenzalida M,"Centro de Neurobiología y Fisiopatología Integrativa (CENFI), Instituto de Fisiología, Universidad de Valparaíso, Valparaíso 2340000, Chile; Millennium Nucleus of Neuroepigenetics and Plasticity (EpiNeuro), Santiago, Chile. Electronic address: marco.fuenzalida@uv.cl."
39853576,Solomons D,"Institute for Biological and Medical Engineering, Schools of Engineering, Medicine and Biological Sciences, Pontificia Universidad Católica de Chile, Santiago, Chile."
39853576,Solomons D,"Department of Physiology, School of Medicine, IFIBIO Houssay, University of Buenos Aires, Buenos Aires, Argentina."
39853576,Schonfeld D,"Centro de Diagnóstico San Jorge, Puerto Madryn, Chubut, Argentina."
39853576,Arias S,"Instituto Nacional de Enfermedades Respiratorias ""Dr. Emilio Coni"", ANLIS e Instituto de Salud Dr. ""Carlos Malbrán"", Santa Fe, Argentina."
39853576,Vigo D,"Chronophysiology Lab, Institute for Biomedical Research, UCA-CONICET), Buenos Aires, Argentina."
39853576,Azpiazu M,"Osakidetza Basque Health Service, Sleep Unit, Araba University Hospital, Vitoria- Gasteiz, Spain."
39853576,Perez-Chada D,"Pulmonary Medicine, Universidad Austral, Hospital Universitario Austral, Pilar, Argentina. dperezchada@gmail.com."
39851628,Valverde E,"Grupo de Sistema Cardiovascular, Instituto de Ingeniería Biomédica (IIBM), Facultad de Ingeniería, Universidad de Buenos Aires, Buenos Aires C1063, Argentina."
39851628,Valverde E,"Grupo de Neurociencia de Sistemas, Instituto de Fisiología y Biofísica ""Bernardo Houssay"" (IFIBIO-Houssay), Departamento de Ciencias Fisiológicas, Facultad de Medicina, CONICET-Universidad de Buenos Aires, Buenos Aires C1121, Argentina."
39851628,Vampa V,"Departamento de Ciencias Básicas, Facultad de Ingeniería, Universidad Nacional de La Plata, La Plata B1900, Argentina."
39851628,Rosso O,"Instituto de Física, Universidade Federal de Alagoas (UFAL), Maceió 57072-970, Brazil."
39851628,Rosso O,"Instituto de Física La Plata (IFLP), CONICET-Universidad Nacional de La Plata, La Plata B1900, Argentina."
39851628,Arini P,"Grupo de Sistema Cardiovascular, Instituto de Ingeniería Biomédica (IIBM), Facultad de Ingeniería, Universidad de Buenos Aires, Buenos Aires C1063, Argentina."
39851628,Arini P,"Grupo de Investigación en Cardioseñales, Instituto Argentino de Matemática ""Alberto P. Calderón"" (IAM), CONICET, Buenos Aires C1425, Argentina."
39833563,Uehara J,"Grupo de Neurociencia de Sistemas, Departamento de Ciencias Fisiológicas, Facultad de Ciencias Médicas, Universidad de Buenos Aires, Buenos Aires, Argentina."
39833563,Uehara J,"Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO-Houssay), UBA-CONICET, Buenos Aires, Argentina."
39833563,Gomez Acosta M,"Grupo de Neurociencia de Sistemas, Departamento de Ciencias Fisiológicas, Facultad de Ciencias Médicas, Universidad de Buenos Aires, Buenos Aires, Argentina."
39833563,Gomez Acosta M,"Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO-Houssay), UBA-CONICET, Buenos Aires, Argentina."
39833563,Bello E,"Grupo de Neurociencia de Sistemas, Departamento de Ciencias Fisiológicas, Facultad de Ciencias Médicas, Universidad de Buenos Aires, Buenos Aires, Argentina. estefania.bello@gmail.com."
39833563,Bello E,"Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO-Houssay), UBA-CONICET, Buenos Aires, Argentina. estefania.bello@gmail.com."
39833563,Belforte J,"Grupo de Neurociencia de Sistemas, Departamento de Ciencias Fisiológicas, Facultad de Ciencias Médicas, Universidad de Buenos Aires, Buenos Aires, Argentina. jbelforte@fmed.uba.ar."
39833563,Belforte J,"Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO-Houssay), UBA-CONICET, Buenos Aires, Argentina. jbelforte@fmed.uba.ar."
39553573,Arenas-Mosquera D,"Universidad de Buenos Aires, Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica ''Houssay"" (IFIBIO), Laboratorio de Neurofisiopatología, Facultad de Medicina, Paraguay 2155 Piso 7, 1121, Ciudad de Buenos Aires, Argentina."
39553573,Cerny N,"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Cátedra de Inmunología e Instituto de Estudios de La Inmunidad Humoral (IDEHU), UBA-CONICET, Junín 956 Piso 4, 1113, Ciudad de Buenos Aires, Argentina."
39553573,Cerny N,"Universidad de Buenos Aires, Facultad de Medicina, Departamento de Microbiología, Parasitología e Inmunología e Instituto de Microbiología y Parasitología Médica (IMPaM), UBA-CONICET, Paraguay 2155 Piso 12, 1121, Ciudad de Buenos Aires, Argentina."
39553573,Cangelosi A,"Centro Nacional de Control de Calidad de Biológicos (CNCCB), ""ANLIS, Dr. Carlos G. Malbrán"", Avenida Vélez Sarsfield 563, 1282, Ciudad de Buenos Aires, Argentina."
39553573,Geoghegan P,"Centro Nacional de Control de Calidad de Biológicos (CNCCB), ""ANLIS, Dr. Carlos G. Malbrán"", Avenida Vélez Sarsfield 563, 1282, Ciudad de Buenos Aires, Argentina."
39553573,Malchiodi E,"Universidad de Buenos Aires, IDEHU-CONICET, Facultad de Farmacia y Bioquímica, Cátedra de Inmunología, Junín 956, Piso 4°, 1113, Ciudad de Buenos Aires, Argentina."
39553573,De Marzi M,"Universidad Nacional de Luján, Departamento de Ciencias Básicas, Ruta 5 y Avenida Constitución (6700) Luján, Buenos Aires, Argentina, Universidad Nacional de Luján, Instituto de Ecología y Desarrollo Sustentable (INEDES)-CONICET, Laboratorio de Inmunología, Ruta 5 y Avenida Constitución (6700) Luján, Buenos Aires, Argentina."
39553573,Pinto A,"Universidad de Buenos Aires, Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica ''Houssay"" (IFIBIO), Laboratorio de Neurofisiopatología, Facultad de Medicina, Paraguay 2155 Piso 7, 1121, Ciudad de Buenos Aires, Argentina."
39553573,Goldstein J,"Universidad de Buenos Aires, Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica ''Houssay"" (IFIBIO), Laboratorio de Neurofisiopatología, Facultad de Medicina, Paraguay 2155 Piso 7, 1121, Ciudad de Buenos Aires, Argentina."
39485629,Netti V,"Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Universidad de Buenos Aires, Buenos Aires, Argentina. vnetti@conicet.gov.ar."
39485629,Netti V,"Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Paraguay 2155, 7Th Floor (1121), Ciudad Autónoma de Buenos Aires, Argentina. vnetti@conicet.gov.ar."
39485629,Cocca M,"Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Universidad de Buenos Aires, Buenos Aires, Argentina."
39485629,Cocca M,"Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Paraguay 2155, 7Th Floor (1121), Ciudad Autónoma de Buenos Aires, Argentina."
39485629,Cutrera N,"Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Universidad de Buenos Aires, Buenos Aires, Argentina."
39485629,Cutrera N,"Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Paraguay 2155, 7Th Floor (1121), Ciudad Autónoma de Buenos Aires, Argentina."
39485629,Molina Ponce T,"Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Universidad de Buenos Aires, Buenos Aires, Argentina."
39485629,Molina Ponce T,"Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Paraguay 2155, 7Th Floor (1121), Ciudad Autónoma de Buenos Aires, Argentina."
39485629,Ford P,"Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Universidad de Buenos Aires, Buenos Aires, Argentina."
39485629,Ford P,"Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Paraguay 2155, 7Th Floor (1121), Ciudad Autónoma de Buenos Aires, Argentina."
39485629,Di Giusto G,"Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Universidad de Buenos Aires, Buenos Aires, Argentina."
39485629,Di Giusto G,"Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Paraguay 2155, 7Th Floor (1121), Ciudad Autónoma de Buenos Aires, Argentina."
39485629,Capurro C,"Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Universidad de Buenos Aires, Buenos Aires, Argentina."
39485629,Capurro C,"Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Paraguay 2155, 7Th Floor (1121), Ciudad Autónoma de Buenos Aires, Argentina."
39461007,Barril C,"Universidad de Buenos Aires- CONICET, Instituto de Biodiversidad y Biología Experimental y Aplicada (IBBEA)- DBBE- Facultad de Ciencias Exactas y Naturales, Laboratorio de Reproducción y Fisiología Materno-Embrionaria, Buenos Aires, Argentina."
39461007,Gualdoni G,"Universidad de Buenos Aires- CONICET, Instituto de Biodiversidad y Biología Experimental y Aplicada (IBBEA)- DBBE- Facultad de Ciencias Exactas y Naturales, Laboratorio de Reproducción y Fisiología Materno-Embrionaria, Buenos Aires, Argentina."
39461007,Damiano A,"Universidad de Buenos Aires- CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO)- Facultad de Medicina, Laboratorio de Biología de la Reproducción. Buenos Aires, Argentina; Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Ciencias Biológicas, Cátedra de Biología Celular y Molecular, Buenos Aires, Argentina."
39461007,Cebral E,"Universidad de Buenos Aires- CONICET, Instituto de Biodiversidad y Biología Experimental y Aplicada (IBBEA)- DBBE- Facultad de Ciencias Exactas y Naturales, Laboratorio de Reproducción y Fisiología Materno-Embrionaria, Buenos Aires, Argentina. Electronic address: ecebral@hotmail.com."
39442808,Gomez F,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Fisiopatogenia, Buenos Aires C1121ABG, Argentina; CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires C1121ABG, Argentina."
39442808,Reppetti J,"CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires C1121ABG, Argentina; Universidad de Buenos Aires, Facultad de Ciencias Médicas, Laboratorio de Biología de la Reproducción, Buenos Aires C1121ABG, Argentina."
39442808,Alvarez R,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Fisiopatogenia, Buenos Aires C1121ABG, Argentina; CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires C1121ABG, Argentina."
39442808,Giron Reyes D,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Fisiopatogenia, Buenos Aires C1121ABG, Argentina; CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires C1121ABG, Argentina."
