Affiliation,N_records,N_papers,N_authors
"Laboratorio de Biología de la Reproducción, IFIBIO-UBA-CONICET, Buenos Aires, Argentina.",1,1,1
"Laboratorio de Biología de la Reproducción, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO)- CONICET- Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina; Cátedra de Biología Celular y Molecular, Departamento de Ciencias Biológicas, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Buenos Aires, Argentina. Electronic address: adamiano@ffyb.uba.ar.",1,1,1
"Laboratorio de Biología de la Reproducción, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO)- CONICET- Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina. adamiano@ffyb.uba.ar.",1,1,1
"Instituto de investigación en Electrónica, Control y Procesamiento de Señales (LEICI), Universidad Nacional de La Plata-Consejo Nacional de Investigaciones Científicas y Técnicas, La Plata, Argentina.",1,1,1
"Interdisciplinary Centre for Health Studies (CIESAL), Universidad de Valparaíso, Viña del Mar, Chile.",1,1,1
"Laboratorio de Biología de la Reproducción, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO), CONICET, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina; Cátedra de Biología Celular y Molecular, Departamento de Ciencias Biológicas, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Argentina.",1,1,1
"Laboratorio de Biología de la Reproducción, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO), CONICET, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina. Electronic address: noraalicia.martinez@gmail.com.",1,1,1
"Laboratorio de Biología de la Reproducción, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO) - Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET) - Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.",3,1,3
"Kelsey Research Foundation, MHSA, Houston, Texas, USA.",1,1,1
"Instituto de Virología/INVIT-CICVyA, National Institute of Agricultural Technology (INTA)-Castelar, Buenos Aires, Argentina, 1686.",1,1,1
"Instituto de Neurociencia Cognitiva y Traslacional, Fundación INECO, Universidad Favaloro y Consejo Nacional de Investigaciones Científicas y Técnicas, Buenos Aires 1078, Argentina.",2,1,2
"Laboratorio de Fisiopatogenia, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Departamento de Fisiología, Facultad de Medicina, Universidad de Buenos Aires, Paraguay 2155, Buenos Aires 1121, Argentina. flasacerdoti@gmail.com.",1,1,1
"Laboratorio de Fisiopatogenia, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Departamento de Fisiología, Facultad de Medicina, Universidad de Buenos Aires, Paraguay 2155, Buenos Aires 1121, Argentina. ibarra@fmed.uba.ar.",1,1,1
"Laboratorio de Fisiopatogenia, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Departamento de Fisiología, Facultad de Medicina, Universidad de Buenos Aires, Paraguay 2155, Buenos Aires 1121, Argentina. lujan.scalise@gmail.com.",1,1,1
"Laboratorio de Fisiopatogenia, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Departamento de Fisiología, Facultad de Medicina, Universidad de Buenos Aires, Paraguay 2155, Buenos Aires 1121, Argentina. mmamaral74@gmail.com.",1,1,1
"Laboratorio de Fisiopatogenia, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO)- CONICET- Departamento de Fisiología, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.",1,1,1
"Instituto de Neurociencia Cognitiva y Traslacional, Concejo Nacional de Investigaciones Científicas y tecnológicas (CONICET), Universidad Favaloro, Instituto de Neurología Cognitiva (INECO), Pacheco de Melo 1860, C1126AAB Buenos Aires, Argentina. Electronic address: nweisstaub@favaloro.edu.ar.",1,1,1
"Instituto de Neurociencia Cognitiva y Traslacional, Concejo Nacional de Investigaciones Científicas y tecnológicas (CONICET), Universidad Favaloro, Instituto de Neurología Cognitiva (INECO), Pacheco de Melo 1860, C1126AAB Buenos Aires, Argentina.",5,1,5
"Laboratorio de Fisiopatogenia. Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Departamento de Fisiología, Facultad de Medicina, Buenos Aires, Argentina.",2,1,2
"Laboratorio de Fisiopatología Placentaria, (CEFYBO)-CONICET, Facultad de Medicina, Universidad de Buenos Aires. Buenos Aires, Argentina.",2,1,2
"Instituto de Neurociencia Cognitiva y Translacional, Universidad Favaloro, INECO, CONICET, Buenos Aires, Argentina.",6,1,6
"Laboratorio de Fisiopatología Placentaria, CEFYBO-CONICET, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.",2,1,2
"Laboratorio de Fisiopatología Placentaria, CEFyBO, Facultad de Medicina, Universidad de Buenos Aires, Argentina.",1,1,1
"Laboratorio de Fisiopatología Placentaria, CEFyBO, Facultad de Medicina, Universidad de Buenos Aires. Paraguay 2155 (1121) Buenos Aires, Argentina.",1,1,1
"Laboratorio de Fisiopatología Placentaria, CEFyBO-UBA-CONICET, Buenos Aires, Argentina.",3,1,3
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, IFIBIO-Houssay UBA-CONICET, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina. Electronic address: mmamaral74@gmail.com.",1,1,1
"Instituto de Neurociencia Aplicada, Universidad Iberoamericana (UNIBE), Calle Majoma N. 13, Los Ríos, Santo Domingo, the Dominican Republic. Electronic address: l.sanchez1@prof.unibe.edu.do.",1,1,1
"Instituto de Medicina Experimental-Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET)-Academia Nacional de Medicina., Buenos Aires, Argentina.",5,1,5
"Instituto de Medicina Experimental - CONICET - Academia Nacional de Medicina, Buenos Aires, Argentina; Departamento de Microbiología, Parasitología e Inmunología, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.",1,1,1
"Instituto de Investigación Médica Mercedes y Martin Ferreyra (INIMEC-CONICET-Universidad Nacional de Córdoba), Córdoba, Argentina.",1,1,1
"Laboratorio de Fisiopatología Placentaria, Centro de Estudios Farmacológicos y Botánicos (CEFYBO, CONICET), Facultad de Medicina, Universidad de Buenos Aires, Paraguay 2155, 16th floor, C1121ABG, Buenos Aires, Argentina.",1,1,1
"Laboratorio de Fisiopatología Placentaria, Centro de Estudios Farmacológicos y Botánicos (CEFYBO, CONICET), Facultad de Medicina, Universidad de Buenos Aires, Paraguay 2155, 16th floor, C1121ABG, Buenos Aires, Argentina. cyntia_aban@yahoo.com.ar.",1,1,1
"Laboratorio de Fisiopatología Placentaria, Centro de Estudios Farmacológicos y Botánicos (CEFyBO) - CONICET, Universidad de Buenos Aires, Buenos Aires, Argentina.",1,1,1
"Laboratorio de Fisiopatología de la Preñez y el Parto, (CEFYBO, CONICET), Facultad de Medicina, UBA, Buenos Aires, Argentina.",1,1,1
"Laboratorio de Hematología, Hospital Universitario Austral, Pilar, Buenos Aires 1629, Argentina. julianaburdet@yahoo.com.ar.",1,1,1
"Instituto de Investigaciones en Ingeniería Genética y Biología Molecular, Consejo Nacional de Investigaciones Científicas y Técnicas, Vuelta de Obligado 2490, 1428, Ciudad Autónoma de Buenos Aires, Argentina; Departamento de Fisiología, Biología Molecular y Celular, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires, Intendente Güiraldes 2160, Ciudad Universitaria, C1428EGA, Ciudad Autónoma de Buenos Aires, Argentina. Electronic address: mrubins@dna.uba.ar.",1,1,1
"Laboratorio de Inmunidad Innata, Instituto de Medicina Experimental (IMEX-CONICET), Academia Nacional de Medicina, Buenos Aires 1425, Argentina.",1,1,1
"Instituto de Investigaciones en Ingeniería Genética y Biología Molecular, Consejo Nacional de Investigaciones Científicas y Técnicas, Vuelta de Obligado 2490, 1428, Ciudad Autónoma de Buenos Aires, Argentina. Electronic address: belentavella@gmail.com.",1,1,1
"Laboratorio de Investigaciones en Biotecnología Sustentable (LIBioS), Departamento de Ciencia y Tecnología, Universidad Nacional de Quilmes, Buenos Aires, Argentina.",1,1,1
"Laboratorio de Investigaciones en Fisiología Renal, Facultad de Medicina, Departamento de Ciencias Fisiológicas, IFIBIO-Houssay CONICET-UBA, Universidad de Buenos Aires, Buenos Aires, Argentina.",2,1,2
"Laboratorio de Investigaciones en Fisiología Renal, Facultad de Medicina, Departamento de Ciencias Fisiológicas, IFIBIO-Houssay CONICET-UBA, Universidad de Buenos Aires, Buenos Aires, Argentina. csilber@fmed.uba.ar.",1,1,1
"Laboratorio de Fisiopatología Placentaria, Centro de Estudios Farmacológicos y Botánicos (CEFYBO) - CONICET, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.",1,1,1
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica ""Bernardo Houssay"", Facultad de Medicina-Consejo Nacional de Investigaciones Científicas y Técnicas, Universidad de Buenos Aires, 1121 Buenos Aires, Argentina. cristinaadrianaibarra@gmail.com.",1,1,1
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica ""Bernardo Houssay"", Facultad de Medicina-Consejo Nacional de Investigaciones Científicas y Técnicas, Universidad de Buenos Aires, 1121 Buenos Aires, Argentina. mmamaral74@gmail.com.",1,1,1
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica ""Bernardo Houssay"", Facultad de Medicina-Consejo Nacional de Investigaciones Científicas y Técnicas, Universidad de Buenos Aires, 1121 Buenos Aires, Argentina. roalvarez_4@yahoo.com.ar.",1,1,1
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, 2155 Paraguay street, Piso 6, 1121 Buenos Aires, Argentina.",4,1,4
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Argentina.",2,1,2
"Instituto de Química y Fisicoquímica Biológicas - CONICET (IQUIFIB), CONICET - Universidad de Buenos Aires, Buenos Aires, Argentina.",2,1,2
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires 1121, Argentina. cristinaadrianaibarra@gmail.com.",1,1,1
"Instituto de Química y Fisicoquímica Biológicas (IQUIFIB) Prof. Alejandro Paladini, UBA-CONICET, Buenos Aires, Argentina.",2,1,2
"Instituto de Química y Fisicoquímica Biológica (IQUIFIB), Facultad de Farmacia y Bioquímica, CONICET, Universidad de Buenos Aires, Argentina.",3,1,3
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires 1121, Argentina. flasacerdoti@gmail.com.",1,1,1
"Instituto de Patobiología, Instituto Nacional de Tecnología Agropecuaria, Nicolás Repetto y De los Reseros, 1686 Hurlingham, Buenos Aires, Argentina.",2,1,2
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires 1121, Argentina. magali.girard@live.com.ar.",1,1,1
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires 1121, Argentina. mmamaral74@gmail.com.",1,1,1
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires 1121, Argentina. roalvarez_4@yahoo.com.ar.",1,1,1
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires C1121, Argentina. cristinaadrianaibarra@gmail.com.",1,1,1
"Laboratorio de Fisiopatogenia, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Departamento de Fisiología, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.",2,1,2
"Laboratorio de Fisiopatogenia, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Departamento de Fisiología, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires 1121, Argentina.",5,1,5
"Laboratorio de Fisiopatogenia, IFIBIO-Houssay (UBA-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Paraguay 2155, C1121 CABA, Argentina. Electronic address: cristinaadrianaibarra@gmail.com.",1,1,1
"Laboratorio de Fisiopatogenia, IFIBIO-Houssay (UBA-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Paraguay 2155, C1121 CABA, Argentina.",2,1,2
"Laboratorio de Fisiopatogenia, Facultad de Medicina, Departamento de Ciencias Fisiológicas, IFIBIO-Houssay CONICET-UBA, Universidad de Buenos Aires, Buenos Aires, Argentina.",2,1,2
"Instituto de Neurociencias UMH-CSIC, San Juan de Alicante, Alicante 03550, Spain.",1,1,1
"Instituto de Neurociencias y Centro Interdisciplinario de Neurociencia de Valparaíso, Facultad de Ciencias, Universidad de Valparaíso, Valparaíso 2340000, Chile.",1,1,1
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires C1121ABG, Argentina. mmamaral74@gmail.com.",1,1,1
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires C1121, Argentina. flasacerdoti@gmail.com.",1,1,1
"Instituto de Patobiología, CICVyA, Instituto Nacional de Tecnología Agropecuaria, Hurlingham 1686, Argentina.",3,1,3
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET)), Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.",4,1,4
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Paraguay 2155, 1121 Buenos Aires, Argentina. Electronic address: ibarra@fmed.uba.ar.",1,1,1
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Paraguay 2155, 1121 Buenos Aires, Argentina.",5,1,5
"Instituto de Patobiología, Centro de Investigación en Ciencias Veterinarias y Agronómicas, Instituto Nacional de Tecnología Agropecuaria (INTA), Hurlingham, Argentina.",3,1,3
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina, 1121. Electronic address: fsacerdoti@fmed.uba.ar.",1,1,1
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina, 1121.",4,1,4
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires C1121, Argentina. mmamaral74@gmail.com.",1,1,1
"Instituto de Patobiologia, CICVyA, Instituto Nacional de Tecnología Agropecuaria, Hurlingham, Argentina.",2,1,2
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas. Laboratorio de Fisiopatogenia. Buenos Aires, Argentina; CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay). Buenos Aires, Argentina. Electronic address: fsacerdoti@fmed.uba.ar.",1,1,1
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas. Laboratorio de Fisiopatogenia. Buenos Aires, Argentina; CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay). Buenos Aires, Argentina.",2,1,2
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas. Grupo de Neurociencias de Sistemas, Buenos Aires, Argentina; CONICET - Universidad de Buenos Aires. Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina. Electronic address: lmuller@fmed.uba.ar.",1,1,1
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas. Grupo de Neurociencias de Sistemas, Buenos Aires, Argentina; CONICET - Universidad de Buenos Aires. Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina.",3,1,3
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas. Buenos Aires, Argentina.",2,1,2
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Fisiopatogenia, Buenos Aires C1121ABG, Argentina; CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires C1121ABG, Argentina. Electronic address: mamaral@fmed.uba.ar.",1,1,1
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Fisiopatogenia, Buenos Aires C1121ABG, Argentina; CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires C1121ABG, Argentina.",4,1,4
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Fisiopatogenia, Buenos Aires C1121 ABG, Argentina.",5,1,5
"Perinatal Medicine Seedbed, School of Medicine, Pontificia Universidad Javeriana, Bogotá, Colombia.",1,1,1
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Buenos Aires, Argentina; Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina.",5,1,5
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Instituto de Fisiología y Biofísica B. Houssay IFIBIO-Houssay-CONICET, Laboratorio de Fisiología Renal, Buenos Aires, Argentina.",1,1,1
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Grupo de Neurociencias de Sistemas, Buenos Aires, Argentina; Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET) - Universidad de Buenos Aires. Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina; Grupo de Neurofisiología, Instituto Multidisciplinario de Biología Celular (IMBICE), Universidad Nacional La Plata (UNLP), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Comisión de Investigaciones Científicas de la Provincia de Buenos Aires (CICPBA)), La Plata, Buenos Aires, Argentina. Electronic address: springvaldivia@gmail.com.",1,1,1
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Grupo de Neurociencias de Sistemas, Buenos Aires, Argentina; Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET) - Universidad de Buenos Aires. Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina.",1,1,1
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Grupo de Neurociencia de Sistemas, Buenos Aires, Argentina; CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina. Electronic address: fkasanetz@fmed.uba.ar.",1,1,1
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Grupo de Neurociencia de Sistemas, Buenos Aires, Argentina; CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina.",2,1,2
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Grupo de Neurociencia de Sistemas, Buenos Aires, Argentina.",3,1,3
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Buenos Aires, Argentina. lmuller@fmed.uba.ar.",1,1,1
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Buenos Aires, Argentina; Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires, Argentina. Electronic address: vnetti@conicet.gov.ar.",1,1,1
"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Fisicoquímica, Buenos Aires, Argentina; CONICET - Universidad de Buenos Aires, Instituto de Bioquímica y Medicina Molecular (IBIMOL), Buenos Aires, Argentina.",2,1,2
"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Depto. de Ciencias Biológicas, Cátedra de Biología Celular y Molecular, Buenos Aires, Argentina.",2,1,2
"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Química Analítica y Fisicoquímica, Cátedra de Química General e Inorgánica, Buenos Aires, Argentina.",1,1,1
"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Microbiología, Inmunología, Biotecnología y Genética/Cátedra de Genética, Buenos Aires, Argentina. htargovn@ffyb.uba.ar.",1,1,1
"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Microbiología, Inmunología, Biotecnología y Genética/Cátedra de Genética, Buenos Aires, Argentina.",4,1,4
"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Microbiología, Inmunología, Biotecnología y Genética, Buenos Aires, Argentina; Instituto de Estudios de la Inmunidad Humoral Dr. R.A. Margni (IDEHU), UBA-CONICET, Argentina.",1,1,1
"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Ciencias Biológicas, Cátedra de Fisiopatología, Buenos Aires, Argentina.",1,1,1
"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Ciencias Biológicas, Cátedra de Biología Celular y Molecular, Buenos Aires, Argentina; Universidad de Buenos Aires-CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay, Buenos Aires, Argentina; Red Iberoamericana de Alteraciones Vasculares en Trastornos del Embarazo, Chillán, Chile.",1,1,1
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas. Laboratorio de Fisiopatogenia. Buenos Aires, Argentina; CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay). Buenos Aires, Argentina. Electronic address: mamaral@fmed.uba.ar.",1,1,1
"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Ciencias Biológicas, Argentina; Laboratorio de Biología de la Reproducción, IFIBIO-CONICET, Argentina.",1,1,1
"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Cátedra de Inmunología e Instituto de Estudios de La Inmunidad Humoral (IDEHU), UBA-CONICET, Junín 956 Piso 4, 1113, Ciudad de Buenos Aires, Argentina; Universidad de Buenos Aires, Facultad de Medicina, Departamento de Microbiología, Parasitología e Inmunología e Instituto de Microbiología y Parasitología Médica (IMPaM), UBA-CONICET, Paraguay 2155 Piso 12, 1121, Ciudad de Buenos Aires, Argentina.",1,1,1
"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Cátedra de Inmunología e Instituto de Estudios de La Inmunidad Humoral (IDEHU), UBA-CONICET, Junín 956 Piso 4, 1113, Ciudad de Buenos Aires, Argentina.",1,1,1
"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Cátedra de Farmacología, Junín, 956, 5th floor, C1113AAC, Buenos Aires, Argentina.",2,1,2
"Universidad de Buenos Aires, Facultad de Ciencias Veterinarias. Cátedra de Fisiología Animal, Buenos Aires, Argentina.",1,1,1
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Instituto de Investigaciones Médicas Alfredo Lanari, Servicio de Nefrología Experimental y Bioquímica Molecular IDIM UBA-CONICET, Buenos Aires, Argentina. E-mail: sandragvla@gmail.com.",1,1,1
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Instituto de Investigaciones Médicas Alfredo Lanari, Servicio de Nefrología Experimental y Bioquímica Molecular IDIM UBA-CONICET, Buenos Aires, Argentina.",2,1,2
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Fisiología, Buenos Aires, Argentina.",4,1,4
"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas. Laboratorio de Patología y Nefrología Experimental, Buenos Aires, Argentina.",1,1,1
"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Ciencias Biológicas, Cátedra de Biología Celular y Molecular, Buenos Aires, Argentina; Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Laboratorio de Biología de la Reproducción, Buenos Aires, Argentina.",2,1,2
"Universidad de Buenos Aires, Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas. Instituto de Fisiología y Biofísica B. Houssay (IFIBIO-Houssay), Laboratorio de Fisiología Renal, Paraguay 2155, piso 4, Buenos Aires, 1121, Argentina. csilber@fmed.uba.ar.",1,1,1
"Universidad de Buenos Aires, Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas. Instituto de Fisiología y Biofísica B. Houssay (IFIBIO-Houssay), Laboratorio de Fisiología Renal, Paraguay 2155, piso 4, Buenos Aires, 1121, Argentina. Electronic address: csilber@fmed.uba.ar.",1,1,1
"Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay, Grupo de Neurociencia de Sistemas, Buenos Aires, Argentina.",6,1,6
"Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay, Grupo de Neurociencia de Sistemas, 2155 Paraguay St, Buenos Aires, 1121, Argentina.",5,1,5
"Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay, Grupo de Neurociencia de Sistemas, 2155 Paraguay St, Buenos Aires, 1121, Argentina barbybraz@gmail.com gmurer@fmed.uba.ar.",2,1,2
"Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Laboratorio de Biomembranas, Buenos Aires, Argentina. E-mail: rtoriano@fmed.uba.ar.",1,1,1
"Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Laboratorio de Biomembranas, Buenos Aires, Argentina.",1,1,1
